id;name;description;coordinates;city
1;mobile Fish;Home Loan Account Table Computer;Trace;New Bryon
2;deposit Tasty Metal Bacon Implementation;Chips;Money Market Account;Judgetown
3;Home Namibia;Steel zero administration;Multi-channelled Licensed;Codybury
4;Planner Canyon;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music;New Dayneview
5;Rubber Buckinghamshire Games;incentivize Tuna copy;Costa Rica Mayotte;North Wadehaven
6;Views e-enable Communications;National Awesome sky blue;Tactics;Howellmouth
7;South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;North Aftonshire
8;index orange;Jewelery;monitor;Patsymouth
9;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;moratorium moratorium;Lanefurt
10;COM;embrace Developer;synthesize Idaho compress;North Joyce
